neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,distance_to_nearest_stn
2,42,1.311,103.7958,1,4.430816799,180,1,0.693147181,365,-0.481365677
0,6,1.33235,103.78521,1,4.382026635,90,18,0,365,-0.921634149
2,42,1.311,103.79667,1,4.248495242,6,20,0.693147181,365,-0.645523466
1,37,1.34541,103.95712,1,5.332718793,1,20,2.079441542,365,-0.720591159
1,37,1.34567,103.95963,1,4.553876892,1,24,2.079441542,365,-0.735901742
1,37,1.34702,103.96103,1,4.65396035,1,48,2.079441542,358,-0.534666631
1,37,1.34348,103.96337,1,5.342334252,1,29,2.079441542,174,-1.24195276
1,1,1.32391,103.91277,1,3.951243719,90,176,1.386294361,248,-1.145605811
1,1,1.32391,103.91277,1,3.988984047,90,199,1.386294361,357,-1.145605811
1,1,1.32391,103.91277,1,3.688879454,90,236,1.386294361,330,-1.145605811
0,4,1.28875,103.80814,1,3.891820298,90,19,3.80666249,315,-0.327711972
0,4,1.28837,103.81099,1,3.688879454,90,11,3.80666249,328,-0.412193744
0,21,1.31125,103.83816,1,4.143134726,2,133,1.791759469,365,-2.120809013
0,11,1.31724,103.88958,1,3.688879454,10,103,0,89,-1.243875348
0,4,1.28976,103.80896,1,3.80666249,90,14,3.80666249,272,-0.416467798
0,4,1.28677,103.81244,1,3.688879454,90,10,3.80666249,362,-0.549697363
0,4,1.28537,103.81087,1,3.663561646,180,3,3.80666249,336,-0.21266376
1,37,1.34943,103.95951,1,3.891820298,2,58,2.079441542,364,-0.131010425
0,11,1.3142,103.90232,1,4.382026635,90,0,0,174,-0.469651613
0,21,1.3115,103.83759,1,4.094344562,2,92,1.791759469,351,-2.29529014
0,21,1.31159,103.83805,1,4.094344562,2,165,1.791759469,365,-2.512526765
0,29,1.29345,103.83562,1,4.025351691,90,27,0,364,-0.167891818
1,37,1.34838,103.9592,1,4.65396035,1,18,2.079441542,333,-0.254210238
3,33,1.3628,103.86446,1,4.025351691,2,82,0,365,0.213169746
1,37,1.34816,103.93238,1,3.63758616,180,0,0,365,-0.312222395
4,14,1.34135,103.71139,1,4.077537444,2,28,1.098612289,352,-0.41178419
0,6,1.33171,103.79383,2,5.627621114,4,11,0,362,-0.929553025
0,30,1.30109,103.85234,1,5.123963979,180,0,0,365,-1.162656248
0,6,1.31016,103.79853,1,4.605170186,90,28,0,90,-1.144129092
0,28,1.30901,103.79639,3,5.347107531,1,0,0,0,-1.161380576
3,33,1.36743,103.87288,1,3.295836866,180,0,0,365,0.453573761
1,1,1.30792,103.92287,2,4.990432587,2,115,0,8,0.601226535
0,10,1.27663,103.84521,1,6.802394763,4,72,1.386294361,0,-2.611105496
0,10,1.27585,103.84597,1,5.003946306,4,26,1.386294361,0,-2.587524121
0,19,1.30416,103.90076,1,5.105945474,2,69,1.609437912,188,0.355245745
3,33,1.35001,103.87161,1,3.761200116,1,36,0,0,-2.250282008
1,25,1.37527,103.94562,1,5.327876169,1,0,0,0,-0.744188201
0,39,1.34143,103.84945,1,3.951243719,2,52,0,360,-1.158415287
0,24,1.2841,103.84253,1,3.80666249,90,2,4.852030264,365,-2.267472643
3,27,1.39963,103.9064,1,5.117993812,1,0,0,365,-2.748624844
0,28,1.28342,103.78585,1,4.859812404,3,1,0,365,-0.779752122
0,38,1.30292,103.82253,2,7.871311203,1,1,0,0,0.083580264
0,4,1.28909,103.80749,1,3.688879454,180,14,3.80666249,364,-0.411795161
0,19,1.30492,103.90315,2,5.707110265,2,40,1.609437912,195,0.496556123
0,19,1.30425,103.90097,1,5.010635294,2,70,1.609437912,190,0.368426336
0,38,1.29839,103.82808,2,5.442417711,4,18,1.386294361,365,-0.258154146
1,1,1.31313,103.91479,1,5.631211782,1,0,0,365,-0.106843613
0,4,1.27681,103.82381,1,5.003946306,1,2,0,365,0.092928598
3,12,1.36792,103.89826,3,3.295836866,4,43,1.098612289,365,-0.281372366
0,24,1.28291,103.84284,1,4.189654742,90,3,4.852030264,0,-1.754630178
